pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:15:00.0, 60.83, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 62.89, 0, 38823
00000000:DA:00.0, 61.02, 0, 38823
00000000:0F:00.0, 63.64, 0, 38823
00000000:15:00.0, 57.08, 0, 38823
00000000:51:00.0, 58.73, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.88, 0, 38823
00000000:0F:00.0, 65.04, 0, 38823
00000000:15:00.0, 57.08, 0, 38823
00000000:51:00.0, 64.23, 0, 38823
00000000:54:00.0, 60.21, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 60.15, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.88, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 62.84, 0, 38823
00000000:51:00.0, 62.16, 0, 38823
00000000:54:00.0, 66.72, 0, 38823
00000000:8D:00.0, 64.50, 0, 38823
00000000:92:00.0, 68.40, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.49, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 61.37, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 59.54, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 62.89, 0, 38823
00000000:DA:00.0, 60.95, 0, 38823
00000000:0F:00.0, 64.50, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 57.74, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 58.46, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 69.20, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.54, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 57.56, 0, 38823
